,vignette,membership,space,location1,location2,content,access,distribution,type
154,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While checking his messages,received an e-mail,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
155,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While checking his messages,received an e-mail,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
156,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,,Other members of the team,contract
157,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,,Other members of the team including the coach,contract
158,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,,Other members of the team including the team captains,contract
159,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,,Students not on the team,contract
160,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
161,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
162,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
163,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
164,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
165,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
166,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
167,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While checking his messages,received an e-mail,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
168,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,,Other members of the team,contract
169,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,,Other members of the team including the coach,contract
170,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,,Other members of the team including the team captains,contract
171,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,,Students not on the team,contract
172,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
173,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
174,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
175,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
176,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
177,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
178,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
179,"Ryan is a New college student On a varsity athletic team. While checking his messages, Ryan received an e-mail from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While checking his messages,received an e-mail,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
180,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,,Other members of the team,contract
181,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,,Other members of the team including the coach,contract
182,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,,Other members of the team including the team captains,contract
183,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,,Students not on the team,contract
184,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
185,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
186,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
187,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
188,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
189,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
190,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
191,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
192,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,,Other members of the team,contract
193,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the coach,contract
194,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the team captains,contract
195,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,,Students not on the team,contract
196,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
197,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
198,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
199,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
200,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
201,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
202,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
203,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
204,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,,Other members of the team,contract
205,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,,Other members of the team including the coach,contract
206,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,,Other members of the team including the team captains,contract
207,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,,Students not on the team,contract
208,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
209,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
210,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
211,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
212,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
213,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
214,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
215,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
216,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,,Other members of the team,contract
217,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,,Other members of the team including the coach,contract
218,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,,Other members of the team including the team captains,contract
219,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,,Students not on the team,contract
220,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
221,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
222,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
223,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
224,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
225,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
226,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
227,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
228,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,,Other members of the team,contract
229,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,,Other members of the team including the coach,contract
230,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,,Other members of the team including the team captains,contract
231,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,,Students not on the team,contract
232,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
233,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
234,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
235,"Ryan is a New college student On a varsity athletic team. While on Facebook, Ryan received a newsfeed from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While on Facebook,received a newsfeed,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
